location,sqft,bedrooms,bathrooms,age,price
Rural,4231,5,2,49,1001388.9128036838
Suburban,4672,7,5,78,2150557.1702888953
Urban,1999,4,2,42,1168918.5339360018
Rural,3468,6,3,23,895754.9606498454
Suburban,1183,5,2,52,826042.0527315107
Urban,2925,7,4,0,2051232.9180683056
Suburban,3337,1,1,6,1301465.7959151426
Urban,1099,3,4,18,1015590.3402809018
Suburban,4020,7,4,84,1911000.2244636337
Urban,5833,2,2,90,2589959.8950446425
Suburban,3411,1,1,1,1367626.8667714684
Urban,2163,2,5,3,1354705.4076676639
Rural,1834,2,4,18,554670.8208576661
Rural,5766,1,2,60,1261264.2276721955
Rural,4201,3,2,17,988428.4886692845
Rural,3974,6,4,4,1073626.9039260333
Rural,4607,4,4,99,1001532.7336270915
Suburban,1729,2,5,86,938591.5149118253
Suburban,2088,6,1,72,1092484.2434228882
Rural,2161,6,4,20,770382.9019635048
Rural,944,7,5,66,498545.2957600037
Rural,1780,2,4,73,440909.63443463447
Urban,4243,1,1,29,1899171.3235323168
Urban,4969,7,4,43,2733009.8468776066
Urban,2870,1,5,95,1564508.0650863885
Suburban,5655,2,1,14,2006396.0370626985
Urban,712,2,4,5,806073.8836632591
Rural,930,7,1,59,375118.7264951378
Urban,3974,7,3,95,2223932.2633204637
Rural,4500,4,4,19,1065865.4741779203
Suburban,2998,7,4,35,1683667.8598182374
Suburban,4674,2,1,79,1675519.8721274673
Suburban,2798,7,1,9,1432149.9324556168
Rural,2898,3,2,45,774345.9744828964
Suburban,4599,5,4,51,1980903.9503000758
Urban,1984,6,5,26,1593196.1538464762
Rural,3890,7,1,64,933756.0238697988
Rural,2196,3,2,67,464773.7382199442
Urban,4221,6,3,32,2404634.979172202
Rural,5217,5,2,55,1118904.8790112075
Suburban,4558,2,2,48,1616511.2867643714
Rural,1033,5,2,24,450837.1974571755
Rural,1675,2,5,55,444049.64194436435
Rural,5771,6,4,51,1337976.991989688
Suburban,842,3,1,81,430834.02591290383
Suburban,886,6,2,23,747132.1667955616
Suburban,4814,2,4,76,1853484.5095103944
Suburban,5057,7,5,42,2269318.102203967
Urban,2748,6,2,89,1671353.0703010755
Suburban,4398,1,1,35,1578564.923229998
Urban,5614,3,3,77,2598221.1083099144
Rural,2699,6,5,69,730806.1933776024
Urban,1921,2,4,9,1241246.4041752298
Suburban,1686,1,5,43,961353.78593619
Urban,3439,2,4,27,1848472.7721779437
Urban,802,4,3,88,740012.0173801467
Urban,5764,4,1,96,2611235.590562288
Urban,4915,5,4,21,2750109.8576968117
Rural,4239,3,3,77,929021.2940801936
Rural,2697,5,3,96,619364.3345170931
Urban,1677,1,4,93,918299.9430117253
Suburban,3587,7,5,18,1871936.5231715252
Suburban,5707,3,4,78,2217729.757818008
Rural,5072,2,1,77,879602.6429343988
Rural,4955,7,4,27,1241708.30256388
Rural,1809,3,4,46,515299.35549360095
Rural,5636,7,4,5,1312608.8416891466
Suburban,777,3,2,51,625216.5228515237
Rural,3264,1,1,52,609748.510732155
Suburban,2411,2,3,31,1045126.7267701732
Urban,3782,3,3,79,1865658.0800668935
Suburban,2295,7,4,64,1290883.0561903308
Urban,4138,5,1,62,2049959.2958889783
Urban,3015,7,1,74,1667913.4458506485
Suburban,785,3,2,79,350647.37878527015
Suburban,505,5,3,44,509892.8350976528
Suburban,1626,6,5,52,1105086.2983258371
Rural,3377,4,1,15,732285.1540059787
Urban,1119,7,4,78,1197242.0220459406
Suburban,2364,4,3,71,1140987.9244321957
Rural,4462,4,1,4,1016781.2622278109
Rural,745,1,5,99,309387.25460593484
Urban,1510,5,4,73,1029405.0200789005
Suburban,5399,4,4,64,2248530.875299851
Suburban,2504,2,2,84,944938.6598947868
Suburban,4642,6,4,71,1980401.5299946894
Suburban,3539,1,1,29,1286065.3787370794
Urban,4780,6,3,39,2498582.6269421414
Suburban,1892,2,2,45,855647.3214670015
Suburban,2455,2,2,9,1045983.4801747968
Suburban,630,1,1,98,199261.9727423659
Suburban,2876,7,2,36,1472877.3649305627
Rural,4201,7,4,54,1045559.1053204075
Suburban,3343,7,2,63,1644112.687250279
Suburban,1463,3,3,31,853143.2832617284
Suburban,3079,3,3,98,1107002.3834929657
Suburban,1271,4,1,4,831049.1479886785
Rural,827,1,1,45,424995.4428708814
Suburban,3771,1,1,70,1297068.0300443936
Rural,2285,2,1,91,429340.5612682887
Suburban,2986,4,2,64,1250445.8739458676
Suburban,4116,6,1,7,1796901.4308325003
Suburban,4699,1,4,21,1965911.7039894448
Urban,2273,3,2,21,1258650.63787606
Suburban,2453,2,1,52,1004937.5551926503
Suburban,1248,6,1,60,874371.7483137175
Suburban,2267,2,5,43,1089159.5871169416
Suburban,2398,1,3,67,1035780.0369743345
Rural,2882,3,2,28,651541.7288475109
Urban,1933,6,4,79,1462842.5828668636
Suburban,3426,5,4,34,1512632.0225517848
Rural,1812,3,5,90,529069.1257559723
Rural,654,6,2,60,256965.15876113117
Rural,3047,7,2,86,825916.4481335878
Suburban,1932,7,5,69,1276195.9566232278
Suburban,3715,1,1,73,1285351.9401800917
Rural,2948,5,5,25,818142.8722614934
Suburban,3721,2,4,73,1508630.7863129277
Urban,5709,6,3,86,2809345.5376492823
Rural,2420,5,4,12,705607.9269548717
Rural,3211,5,3,39,897867.5272720798
Urban,3393,2,3,97,1550672.1756191417
Urban,1087,6,5,33,1202205.8357917734
Urban,1310,2,1,78,632029.378634071
Suburban,1306,1,1,78,615084.0459188841
Suburban,3883,2,2,81,1483996.6862633247
Rural,531,2,2,31,294787.5073295971
Rural,1065,3,2,67,291240.0467854858
Urban,566,5,2,50,782712.4176998027
Urban,4177,5,2,15,2295242.6436480903
Suburban,1947,2,2,76,852497.6548116261
Urban,4752,7,1,12,2536489.6553141573
Suburban,2739,5,4,4,1534073.8199800234
Suburban,1650,4,1,23,794244.529604701
Suburban,3886,1,5,54,1589018.4804121114
Suburban,1858,3,2,84,768951.8167873714
Urban,1151,2,5,22,1002049.9486296864
Urban,1379,1,1,72,589583.735219586
Urban,2991,7,2,15,1872397.2620876494
Rural,5973,4,1,72,1223572.658971647
Suburban,5986,6,2,42,2411186.573415694
Suburban,1904,2,1,32,870493.3953980053
Rural,1744,6,3,24,556624.2132719355
Suburban,4489,6,4,0,2016415.625577294
Urban,4264,5,3,78,2179181.8120278222
Urban,2648,2,3,38,1501308.3739571138
Rural,3764,3,2,22,798155.1878440263
Urban,4238,6,2,19,2217427.135772527
Rural,980,7,5,15,523555.71835380833
Urban,5943,7,1,79,2947059.776995566
Rural,5172,7,3,92,1163908.0479793088
Rural,1302,6,4,24,579539.0646992435
Suburban,2450,7,2,100,1242880.8545622672
Urban,3558,6,3,8,2167778.0369455894
Urban,1373,3,5,1,1036755.2463650772
Rural,964,5,5,69,505567.618371255
Suburban,4002,1,1,42,1436963.632169382
Suburban,2853,2,3,73,1207201.0204585863
Urban,5654,2,3,75,2623809.8979936265
Urban,551,7,4,16,1065463.2603684908
Rural,1257,7,3,54,583205.3153163057
Urban,1295,1,4,7,954542.6076082732
Suburban,3712,7,4,3,1883260.2196034386
Urban,5705,2,2,33,2536559.623349304
Suburban,1485,7,3,19,1205539.9789016582
Rural,1519,4,1,58,411604.3059865839
Rural,1873,1,1,53,502478.73181366525
Rural,3710,6,4,15,887270.891133141
Rural,1901,5,5,93,555747.8061434304
Rural,4580,3,2,81,912164.9808675419
Suburban,5638,5,3,58,2245135.992316622
Suburban,3092,5,3,30,1535703.3222350506
Suburban,622,2,4,20,692536.4037891044
Suburban,1493,7,2,83,965676.1089268534
Urban,5424,7,3,38,2860471.089228033
Urban,2341,3,5,66,1411799.1297511386
Rural,4296,3,2,43,925872.3296906564
Rural,4848,4,1,87,1080627.7414196373
Rural,4252,3,5,25,991739.8158730399
Suburban,4587,6,2,48,1975943.9524353205
Urban,1359,6,3,59,1145869.5966273954
Suburban,4614,4,2,62,1861820.6364365707
Suburban,1459,2,4,27,856076.6386950484
Rural,3086,1,4,39,807982.8860189086
Urban,4717,4,2,4,2411874.1324403277
Rural,1101,7,3,74,528436.4985399283
Suburban,724,4,1,78,530924.9566202158
Suburban,1053,7,5,68,990916.9757022356
Suburban,2067,5,3,69,1062999.2305100004
Suburban,2508,7,5,47,1596120.0750810606
Suburban,1595,4,4,100,901832.4879490132
Suburban,2499,6,2,18,1279548.0531648106
Suburban,3479,1,4,69,1290554.8314429894
Urban,1524,3,5,29,1193150.3328570796
Rural,5059,2,1,88,1019867.7496374649
Urban,3959,2,1,9,1916383.8398343688
Suburban,2186,5,5,84,1188531.446077204
Urban,3142,1,3,94,1554289.69390817
Urban,3502,2,4,17,1954739.6162086208
Suburban,5548,5,4,60,2283529.131237949
Rural,5297,7,4,71,1218152.264819475
Suburban,5365,1,4,53,1993243.1066191632
Urban,1832,1,5,89,1018231.4729046958
Suburban,1964,3,1,63,852138.826878847
Urban,664,5,2,34,695233.331424898
Suburban,4416,4,4,17,1941155.4851763207
Suburban,4863,7,5,59,2158091.444633566
Suburban,4161,4,5,7,1947195.7373433437
Suburban,4729,2,1,46,1714633.7684880274
Rural,2432,5,1,2,602459.1018540389
Rural,3368,5,5,99,733374.0612984864
Suburban,1743,2,1,90,602992.3598227105
Urban,5452,1,5,13,2597643.0695953565
Urban,2551,7,5,16,1901227.4628942793
Urban,4348,4,3,28,2313021.5720676533
Suburban,2256,3,2,97,942129.8108474036
Urban,5387,6,4,3,2970299.73440389
Suburban,1070,7,3,23,1005267.4595128642
Rural,4639,7,1,87,1220750.2222462918
Urban,1336,1,1,93,560322.2850297723
Urban,1484,4,3,52,1147290.2133659236
Rural,2167,7,2,15,660861.4973666016
Urban,544,5,4,98,663270.404117815
Urban,5928,2,2,11,2712391.3227171716
Suburban,1851,5,1,27,945201.6503555464
Rural,3639,1,2,8,703236.0604113713
Suburban,4767,2,3,93,1854396.280883589
Suburban,3872,4,4,78,1699886.7027418232
Rural,713,1,5,15,319369.97259992023
Urban,3736,5,4,43,2085776.913466326
Urban,1839,6,5,69,1475771.4327050927
Suburban,4104,6,5,92,1871425.5634867835
Suburban,2988,2,5,48,1329584.0402118652
Suburban,3013,4,5,1,1511564.1163940295
Urban,949,5,3,42,1027641.843097222
Rural,2173,2,4,68,587544.9082011385
Urban,4707,6,2,42,2450971.2914335458
Suburban,988,1,1,57,541693.8938710374
Suburban,774,2,5,62,555298.300336397
Urban,2556,1,1,82,1161756.8864352864
Urban,3171,7,1,42,1733479.5267118071
Urban,5391,3,1,23,2521335.221499381
Rural,3974,6,5,11,1038622.1590926829
Urban,1302,5,4,51,1254980.3444223315
Suburban,4063,1,2,67,1460753.2273990489
Suburban,4599,7,3,41,2103866.648447908
Urban,4838,2,5,51,2380348.9700722867
Urban,5915,7,5,26,3176705.3609268432
Suburban,1648,1,2,42,720972.6007300598
Rural,4239,3,4,5,940736.5029765437
Suburban,1486,1,5,21,848582.871649456
Urban,2598,2,1,9,1320965.9742851139
Suburban,5978,4,4,41,2483358.649048017
Rural,4631,7,2,31,1171265.7501817627
Suburban,4911,1,1,11,1867173.3315504442
Rural,5206,6,1,54,1046840.495770024
Suburban,4324,1,2,61,1535581.3816353825
Rural,4791,4,5,78,1087049.2146252692
Suburban,2579,7,5,65,1430330.865270714
Suburban,931,1,2,97,349480.50716257666
Rural,3420,3,1,58,818109.316270485
Rural,2218,2,3,55,522596.3112108848
Suburban,1492,7,4,2,1137583.0118640757
Urban,4545,6,1,41,2311219.6976028243
Suburban,2765,2,4,45,1181244.207133392
Suburban,4591,4,2,90,1830012.7257252242
Urban,556,3,5,83,609240.1033055376
Urban,4777,5,2,71,2416873.088012294
Rural,2623,2,3,37,636661.4192850433
Rural,1506,1,1,73,250733.25972091503
Suburban,2143,6,1,62,1122834.1776187103
Urban,3078,5,1,42,1707381.1571806825
Urban,5753,1,1,0,2629917.5586214596
Rural,2091,7,5,56,671366.5172280935
Suburban,715,6,2,99,667723.2656111117
Urban,3469,7,1,21,2124997.308391979
Suburban,3410,2,4,100,1330263.6703028956
Urban,2320,7,2,26,1692317.0081288887
Urban,1972,4,2,81,1232802.8882600965
Rural,1490,3,5,96,571641.4326400085
Urban,2324,5,1,83,1294340.7459310915
Urban,4158,2,4,23,2117236.0880484474
Suburban,675,2,5,85,506702.0320498415
Rural,4027,6,4,21,1031884.8398345383
Suburban,1526,2,4,88,680716.5520800264
Suburban,4814,1,2,64,1741040.8561972869
Rural,4896,2,5,22,1021396.2545484965
Rural,2437,6,3,7,769942.9835236124
Suburban,5217,3,4,17,2078876.994469254
Urban,1648,3,1,87,993490.6599319181
Rural,2133,5,3,49,651017.0509483719
Suburban,3331,3,2,0,1383220.42854255
Suburban,2224,3,1,22,949794.765129094
Rural,3110,2,3,25,610984.5238252084
Rural,5894,4,2,30,1231930.2373379387
Rural,1524,4,1,70,411513.28799488925
Suburban,2543,4,1,60,1165414.5878479597
Suburban,1948,5,1,10,1073627.4933520854
Urban,2053,1,4,59,1131036.782216055
Urban,796,2,3,32,802528.7081897772
Suburban,5896,7,4,66,2428450.6942545166
Rural,5003,5,1,15,1032954.3226263672
Suburban,975,3,4,16,729005.0793192439
Rural,5834,1,5,43,1112258.6834053295
Rural,2706,2,1,6,561094.5811619149
Suburban,4634,5,1,17,1948353.0617086918
Suburban,4623,2,5,20,1829924.403625576
Rural,5161,4,1,22,1043663.5122743323
Suburban,5058,1,4,79,1900022.789003757
Rural,5384,2,3,99,1017862.2287984277
Urban,3331,7,1,87,1918685.3251212577
Urban,2793,1,1,46,1313780.775147054
Suburban,3206,4,3,19,1478040.95800101
Suburban,4187,4,5,56,1875340.8171571281
Urban,3272,2,3,69,1531657.470971215
Rural,1105,2,1,28,295879.6964731778
Rural,5307,4,3,65,1206264.042521357
Rural,2780,1,1,40,552992.9800434766
Urban,4672,5,4,4,2630079.056837482
Urban,5249,2,1,30,2348931.7687688367
Rural,566,3,2,41,283942.0130987597
Rural,3567,5,4,25,828973.0552727149
Rural,2479,7,5,71,727838.5060465155
Urban,702,7,5,1,1121971.1979664934
Urban,565,4,2,59,662286.3368934594
Urban,4515,7,3,88,2463324.842273743
Rural,971,1,3,66,306723.9597040413
Suburban,1674,4,3,15,962496.051341536
Urban,604,7,1,63,857295.3081580122
Urban,945,3,5,38,910259.3193746199
Urban,3098,2,5,20,1755979.1485419415
Suburban,2883,4,5,49,1414998.6952411274
Urban,5227,1,1,11,2275685.7920137136
Rural,4080,4,5,86,942011.2112348219
Rural,3507,5,3,35,809622.6220296519
Urban,2967,7,1,44,1771622.4549547462
Rural,1350,4,2,60,498995.9000747473
Rural,3468,7,5,74,917274.1326128637
Rural,3566,6,1,5,883973.6542740448
Urban,2109,3,2,30,1258014.41632348
Suburban,5351,5,5,36,2257188.4299493646
Urban,1770,2,5,44,1114391.826825441
Suburban,4799,3,1,71,1753414.28903283
Suburban,2931,3,2,40,1291470.60586422
Rural,1031,3,1,30,256895.50154523164
Urban,3325,3,1,61,1609979.161021684
Rural,5865,7,4,45,1361111.4673302888
Suburban,3598,2,3,71,1438744.5948662716
Suburban,1574,3,3,34,946991.0968439867
Suburban,4959,6,1,6,2053174.157907446
Suburban,3800,1,4,1,1605145.2057494733
Rural,1266,2,1,73,373211.74098371627
Rural,4180,6,1,4,1068361.3361655122
Rural,3427,5,5,22,816436.4329168624
Suburban,2305,4,2,95,1095543.4082319427
Rural,4799,5,4,59,1042681.5300409709
Rural,919,7,4,60,424588.91255392984
Urban,3600,7,5,95,2124776.596641499
Urban,4372,2,3,77,1948321.2189368696
Suburban,1410,7,5,53,1194886.6038314058
Urban,3572,3,4,71,1909135.7912377568
Urban,2574,5,2,76,1483910.9931048453
Urban,837,2,3,69,700467.3253429794
Rural,1225,1,3,62,393652.37283002306
Urban,3707,6,5,92,2095850.9161119245
Urban,3968,4,3,17,2130749.0861848285
Urban,4310,6,3,38,2363239.5925300047
Rural,3108,2,4,27,625726.4399211605
Urban,5670,5,1,80,2615668.58217662
Suburban,1874,1,4,92,846018.8513467591
Suburban,4758,7,1,2,2078112.0031676954
Urban,3285,7,1,44,1914835.3413061246
Suburban,3557,3,2,32,1447731.5848822198
Suburban,5743,6,4,97,2350182.1487149205
Urban,630,2,3,1,652124.9492415535
Suburban,1625,1,2,50,663056.8569164095
Urban,4268,6,1,90,2107696.774483721
Urban,2897,5,5,25,1920745.466550652
Rural,5622,4,4,90,1184863.1053353744
Urban,5294,6,5,12,2864690.118886659
Rural,2193,7,2,88,605565.6812493087
Rural,1124,5,4,80,465176.7716275048
Urban,3763,4,4,45,2020130.998999903
Urban,5572,4,1,36,2579936.5251905257
Suburban,5039,4,4,14,1992587.79549095
Rural,1015,4,5,80,390291.28020462964
Rural,5259,6,4,50,1235478.6771710713
Urban,4203,3,2,45,2095682.1481661089
Urban,4225,3,4,53,2060360.275694878
Urban,3497,2,5,68,1815375.55088056
Suburban,1013,7,3,63,798305.0834525175
Rural,5948,4,4,32,1289192.2743119928
Rural,4411,4,4,90,906565.1491047185
Urban,5018,3,4,14,2552386.8264432573
Rural,1173,3,5,4,497428.52936539036
Urban,2895,5,2,12,1765980.2968956071
Suburban,3924,2,3,45,1529210.060848561
Urban,1411,5,5,95,1187633.801261366
Urban,2928,4,4,85,1607731.726655255
Rural,5549,4,5,44,1280702.9460049951
Rural,4398,4,4,52,1087655.506436179
Suburban,2658,1,3,77,1113740.9308026412
Suburban,1738,1,2,72,658007.7764929594
Suburban,761,3,2,26,607255.1447680203
Urban,2509,2,5,5,1550767.8059501087
Urban,1358,4,5,15,1166367.0379524163
Suburban,5515,2,3,50,2008987.2477327262
Urban,4746,5,3,93,2367171.6466151555
Urban,2851,5,1,91,1491797.0181788786
Urban,5770,1,5,7,2613044.1315954146
Urban,5033,7,5,11,2868668.1482404256
Suburban,2443,6,1,46,1260840.2272155741
Rural,4444,3,1,46,983378.7849338418
Urban,1873,5,3,91,1244033.2563586244
Rural,3893,7,5,40,1006745.1017861019
Suburban,4054,2,4,72,1708930.18997412
Rural,1981,6,4,56,608900.5133455608
Urban,5290,4,1,2,2478332.9423805587
Suburban,4865,1,2,40,1743388.1548581233
Urban,4327,5,4,28,2421208.4545982643
Rural,5042,6,1,71,1148899.9197787591
Rural,4816,3,1,20,1035968.69145482
Suburban,984,4,2,30,693326.1886108067
Rural,5348,5,4,91,1190902.6756637946
Rural,4239,1,3,71,797129.3265954478
Suburban,1244,7,3,52,1004303.5985482957
Suburban,2563,7,5,31,1437191.0444162698
Urban,5799,2,1,93,2417526.513235612
Urban,3810,7,2,99,2075011.5152940955
Urban,2960,7,4,38,1935841.0161107813
Urban,5214,4,4,18,2613711.3421887234
Urban,1543,1,2,92,700722.7273307029
Urban,1187,5,2,91,915698.524533997
Rural,2368,1,5,8,584707.9861847361
Rural,561,7,4,45,390637.4849482498
Rural,5396,1,1,75,970105.1720399747
Rural,1299,6,2,20,588605.8977196172
Urban,3678,4,4,4,2058964.7907301239
Urban,5261,5,1,93,2482666.651458066
Suburban,4850,3,4,18,1894326.9582492916
Suburban,2162,6,2,29,1240246.3067505772
Suburban,2574,6,1,8,1317848.226474221
Urban,1335,1,4,13,904464.4673103973
Urban,5029,1,4,56,2316535.6761914915
Suburban,2834,5,2,10,1368257.881413129
Suburban,4866,1,3,58,1861034.9290652697
Rural,2097,7,4,29,777903.9676354331
Suburban,2557,5,3,51,1290480.0812294728
Urban,6000,6,4,3,3214228.2136762454
Rural,1924,7,1,20,542416.5262215934
Suburban,4583,6,5,15,2196667.7534967796
Suburban,5693,6,3,71,2266284.1368650515
Urban,1751,3,4,18,1176318.2705515828
Urban,1860,2,1,9,1051265.5828423586
Suburban,2931,4,1,74,1198042.8700870483
Suburban,5427,2,4,56,2095529.8046178725
Urban,5795,6,3,54,3021693.7793640695
Suburban,5951,6,4,17,2560057.9588019396
Rural,4767,7,2,44,1059976.1116951618
Suburban,2904,3,3,13,1372863.2736905178
Rural,650,3,2,24,259322.30629081823
Rural,5917,6,5,5,1345941.7118057685
Rural,5375,3,4,97,1090240.4077608534
Suburban,3258,6,4,21,1685494.480580488
Suburban,3814,6,2,88,1679180.0676571461
Urban,1249,5,5,18,1277970.0035185555
Urban,1879,7,3,25,1573014.754220857
Urban,5443,5,3,51,2817484.049026984
Suburban,3393,4,4,65,1480106.8234404905
Rural,1940,6,1,97,611187.0297909788
Suburban,4299,4,2,51,1715541.593522939
Suburban,4473,5,5,93,1879676.9882066066
Rural,5215,6,3,44,1087600.5104649626
Rural,635,7,4,31,482024.2369428223
Urban,1952,1,2,3,1124917.832589057
Suburban,3680,5,1,4,1504139.0173009268
Suburban,3535,6,4,91,1659831.6923834728
Rural,643,5,4,6,489346.2214272973
Rural,4967,5,1,100,1082710.1502409535
Rural,4795,3,1,43,979444.9796976165
Rural,5643,1,4,35,1187581.960159904
Rural,2059,6,4,6,708725.4315632427
Urban,3953,2,5,77,1987006.9073185674
Rural,5322,1,2,3,1129806.4861348881
Rural,2488,4,5,43,779112.7865712171
Urban,4338,2,1,63,1942826.2665152773
Suburban,4457,6,3,43,2008672.2466119314
Urban,1603,3,3,65,954643.5034016587
